,center,left,right,steering,throttle,reverse,speed
0,center_2020_04_21_00_55_53_551.jpg,left_2020_04_21_00_55_53_551.jpg,right_2020_04_21_00_55_53_551.jpg,0.0,0.0,0.0,7.794789000000001e-05
21,center_2020_04_21_00_55_55_851.jpg,left_2020_04_21_00_55_55_851.jpg,right_2020_04_21_00_55_55_851.jpg,0.0,0.0,0.0,8.109145e-05
28,center_2020_04_21_00_55_56_615.jpg,left_2020_04_21_00_55_56_615.jpg,right_2020_04_21_00_55_56_615.jpg,-0.202215,0.7873498999999999,0.0,1.338989
29,center_2020_04_21_00_55_56_720.jpg,left_2020_04_21_00_55_56_720.jpg,right_2020_04_21_00_55_56_720.jpg,-0.2549822,1.0,0.0,2.469448
32,center_2020_04_21_00_55_57_046.jpg,left_2020_04_21_00_55_57_046.jpg,right_2020_04_21_00_55_57_046.jpg,-0.2389737,1.0,0.0,6.416262000000001
34,center_2020_04_21_00_55_57_268.jpg,left_2020_04_21_00_55_57_268.jpg,right_2020_04_21_00_55_57_268.jpg,-0.2093428,1.0,0.0,8.89913
37,center_2020_04_21_00_55_57_576.jpg,left_2020_04_21_00_55_57_576.jpg,right_2020_04_21_00_55_57_576.jpg,-0.2913544,1.0,0.0,12.00816
39,center_2020_04_21_00_55_57_778.jpg,left_2020_04_21_00_55_57_778.jpg,right_2020_04_21_00_55_57_778.jpg,-0.33117909999999995,1.0,0.0,14.17429
40,center_2020_04_21_00_55_57_882.jpg,left_2020_04_21_00_55_57_882.jpg,right_2020_04_21_00_55_57_882.jpg,-0.20996120000000001,1.0,0.0,15.457020000000002
41,center_2020_04_21_00_55_58_002.jpg,left_2020_04_21_00_55_58_002.jpg,right_2020_04_21_00_55_58_002.jpg,-0.4258053,1.0,0.0,16.68044
42,center_2020_04_21_00_55_58_102.jpg,left_2020_04_21_00_55_58_102.jpg,right_2020_04_21_00_55_58_102.jpg,-0.5416592,1.0,0.0,17.42736
43,center_2020_04_21_00_55_58_207.jpg,left_2020_04_21_00_55_58_207.jpg,right_2020_04_21_00_55_58_207.jpg,-0.27396909999999997,1.0,0.0,18.68994
44,center_2020_04_21_00_55_58_315.jpg,left_2020_04_21_00_55_58_315.jpg,right_2020_04_21_00_55_58_315.jpg,-0.3933034,1.0,0.0,19.82594
45,center_2020_04_21_00_55_58_417.jpg,left_2020_04_21_00_55_58_417.jpg,right_2020_04_21_00_55_58_417.jpg,-0.08510756,1.0,0.0,20.7439
49,center_2020_04_21_00_55_58_859.jpg,left_2020_04_21_00_55_58_859.jpg,right_2020_04_21_00_55_58_859.jpg,-0.1605059,1.0,0.0,25.0837
50,center_2020_04_21_00_55_58_965.jpg,left_2020_04_21_00_55_58_965.jpg,right_2020_04_21_00_55_58_965.jpg,-0.05876398,1.0,0.0,26.01004
